Country: Andorra, Capital: Andorra la Vella, Population: 84000
Country: United Arab Emirates, Capital: Abu Dhabi, Population: 4975593
Country: Afghanistan, Capital: Kabul, Population: 29121286
Country: Antigua and Barbuda, Capital: St. John's, Population: 86754
Country: Anguilla, Capital: The Valley, Population: 13254
Country: Albania, Capital: Tirana, Population: 2986952
Country: Armenia, Capital: Yerevan, Population: 2968000
Country: Angola, Capital: Luanda, Population: 13068161
Country: Antarctica, Capital: None, Population: 0
Country: Argentina, Capital: Buenos Aires, Population: 41343201
Country: American Samoa, Capital: Pago Pago, Population: 57881
Country: Austria, Capital: Vienna, Population: 8205000
Country: Australia, Capital: Canberra, Population: 21515754
Country: Aruba, Capital: Oranjestad, Population: 71566
Country: Åland, Capital: Mariehamn, Population: 26711
Country: Azerbaijan, Capital: Baku, Population: 8303512
Country: Bosnia and Herzegovina, Capital: Sarajevo, Population: 4590000
Country: Barbados, Capital: Bridgetown, Population: 285653
Country: Bangladesh, Capital: Dhaka, Population: 156118464
Country: Belgium, Capital: Brussels, Population: 10403000
Country: Burkina Faso, Capital: Ouagadougou, Population: 16241811
Country: Bulgaria, Capital: Sofia, Population: 7148785
Country: Bahrain, Capital: Manama, Population: 738004
Country: Burundi, Capital: Bujumbura, Population: 9863117
Country: Benin, Capital: Porto-Novo, Population: 9056010
Country: Saint Barthélemy, Capital: Gustavia, Population: 8450
Country: Bermuda, Capital: Hamilton, Population: 65365
Country: Brunei, Capital: Bandar Seri Begawan, Population: 395027
Country: Bolivia, Capital: Sucre, Population: 9947418
Country: Bonaire, Capital: Kralendijk, Population: 18012
Country: Brazil, Capital: Brasília, Population: 201103330
Country: Bahamas, Capital: Nassau, Population: 301790
Country: Bhutan, Capital: Thimphu, Population: 699847
Country: Bouvet Island, Capital: None, Population: 0
Country: Botswana, Capital: Gaborone, Population: 2029307
Country: Belarus, Capital: Minsk, Population: 9685000
Country: Belize, Capital: Belmopan, Population: 314522
Country: Canada, Capital: Ottawa, Population: 33679000
Country: Cocos [Keeling] Islands, Capital: West Island, Population: 628
Country: Democratic Republic of the Congo, Capital: Kinshasa, Population: 70916439
Country: Central African Republic, Capital: Bangui, Population: 4844927
Country: Republic of the Congo, Capital: Brazzaville, Population: 3039126
Country: Switzerland, Capital: Bern, Population: 7581000
Country: Ivory Coast, Capital: Yamoussoukro, Population: 21058798
Country: Cook Islands, Capital: Avarua, Population: 21388
Country: Chile, Capital: Santiago, Population: 16746491
Country: Cameroon, Capital: Yaoundé, Population: 19294149
Country: China, Capital: Beijing, Population: 1330044000
Country: Colombia, Capital: Bogotá, Population: 47790000
Country: Costa Rica, Capital: San José, Population: 4516220
Country: Cuba, Capital: Havana, Population: 11423000
Country: Cape Verde, Capital: Praia, Population: 508659
Country: Curacao, Capital: Willemstad, Population: 141766
Country: Christmas Island, Capital: Flying Fish Cove, Population: 1500
Country: Cyprus, Capital: Nicosia, Population: 1102677
Country: Czech Republic, Capital: Prague, Population: 10476000
Country: Germany, Capital: Berlin, Population: 81802257
Country: Djibouti, Capital: Djibouti, Population: 740528
Country: Denmark, Capital: Copenhagen, Population: 5484000
Country: Dominica, Capital: Roseau, Population: 72813
Country: Dominican Republic, Capital: Santo Domingo, Population: 9823821
Country: Algeria, Capital: Algiers, Population: 34586184
Country: Ecuador, Capital: Quito, Population: 14790608
Country: Estonia, Capital: Tallinn, Population: 1291170
Country: Egypt, Capital: Cairo, Population: 80471869
Country: Western Sahara, Capital: Laâyoune / El Aaiún, Population: 273008
Country: Eritrea, Capital: Asmara, Population: 5792984
Country: Spain, Capital: Madrid, Population: 46505963
Country: Ethiopia, Capital: Addis Ababa, Population: 88013491
Country: Finland, Capital: Helsinki, Population: 5244000
Country: Fiji, Capital: Suva, Population: 875983
Country: Falkland Islands, Capital: Stanley, Population: 2638
Country: Micronesia, Capital: Palikir, Population: 107708
Country: Faroe Islands, Capital: Tórshavn, Population: 48228
Country: France, Capital: Paris, Population: 64768389
Country: Gabon, Capital: Libreville, Population: 1545255
Country: United Kingdom, Capital: London, Population: 62348447
Country: Grenada, Capital: St. George's, Population: 107818
Country: Georgia, Capital: Tbilisi, Population: 4630000
Country: French Guiana, Capital: Cayenne, Population: 195506
Country: Guernsey, Capital: St Peter Port, Population: 65228
Country: Gibraltar, Capital: Gibraltar, Population: 27884
Country: Greenland, Capital: Nuuk, Population: 56375
Country: Ghana, Capital: Accra, Population: 24339838
Country: Gambia, Capital: Bathurst, Population: 1593256
Country: Guinea, Capital: Conakry, Population: 10324025
Country: Guadeloupe, Capital: Basse-Terre, Population: 443000
Country: Equatorial Guinea, Capital: Malabo, Population: 1014999
Country: Greece, Capital: Athens, Population: 11000000
Country: South Georgia and the South Sandwich Islands, Capital: Grytviken, Population: 30
Country: Guatemala, Capital: Guatemala City, Population: 13550440
Country: Guam, Capital: Hagåtña, Population: 159358
Country: Guinea-Bissau, Capital: Bissau, Population: 1565126
Country: Guyana, Capital: Georgetown, Population: 748486
Country: Hong Kong, Capital: Hong Kong, Population: 6898686
Country: Honduras, Capital: Tegucigalpa, Population: 7989415
Country: Heard Island and McDonald Islands, Capital: None, Population: 0
Country: Croatia, Capital: Zagreb, Population: 4491000
Country: Haiti, Capital: Port-au-Prince, Population: 9648924
Country: Hungary, Capital: Budapest, Population: 9982000
Country: Indonesia, Capital: Jakarta, Population: 242968342
Country: Ireland, Capital: Dublin, Population: 4622917
Country: Israel, Capital: None, Population: 7353985
Country: Isle of Man, Capital: Douglas, Population: 75049
Country: India, Capital: New Delhi, Population: 1173108018
Country: British Indian Ocean Territory, Capital: None, Population: 4000
Country: Iraq, Capital: Baghdad, Population: 29671605
Country: Iran, Capital: Tehran, Population: 76923300
